frequency,darm
87.2,2.0299999999999997e-20
87.3,2.01e-20
87.4,2.08e-20
87.5,2.0299999999999997e-20
87.6,2.02e-20
87.7,2.12e-20
87.8,2.23e-20
87.9,2.2200000000000003e-20
88.0,2.3e-20
88.1,2.2400000000000003e-20
88.2,2.2599999999999998e-20
88.3,2.16e-20
88.4,2.15e-20
88.5,2.28e-20
88.6,2.25e-20
88.7,2.2400000000000003e-20
88.8,2.31e-20
88.9,2.33e-20
89.0,2.3199999999999997e-20
89.1,2.3599999999999998e-20
89.2,2.33e-20
89.3,2.2699999999999998e-20
89.4,2.2699999999999998e-20
89.5,2.2400000000000003e-20
89.6,2.19e-20
89.7,2.2000000000000002e-20
89.8,2.2699999999999998e-20
89.9,2.38e-20
90.0,2.3900000000000002e-20
90.1,2.3599999999999998e-20
90.2,2.2900000000000002e-20
90.3,2.2200000000000003e-20
90.4,2.0699999999999998e-20
90.5,2.0000000000000002e-20
90.6,2.0699999999999998e-20
90.7,2.12e-20
90.8,2.12e-20
90.9,2.19e-20
91.0,2.21e-20
91.1,2.18e-20
91.2,2.1400000000000003e-20
91.3,2.05e-20
91.4,1.95e-20
91.5,1.96e-20
91.6,2.0299999999999997e-20
91.7,2.13e-20
91.8,2.0699999999999998e-20
91.9,2.08e-20
92.0,2.08e-20
92.1,2.0299999999999997e-20
92.2,1.9900000000000002e-20
92.3,2.0000000000000002e-20
92.4,1.9900000000000002e-20
92.5,1.91e-20
92.6,1.9e-20
92.7,1.89e-20
92.8,1.84e-20
92.9,1.7799999999999998e-20
93.0,1.79e-20
93.1,1.8000000000000002e-20
93.2,1.82e-20
93.3,1.92e-20
93.4,1.95e-20
93.5,1.95e-20
93.6,1.95e-20
93.7,1.9e-20
93.8,1.92e-20
93.9,1.9900000000000002e-20
94.0,1.93e-20
94.1,1.91e-20
94.2,1.96e-20
94.3,1.93e-20
94.4,1.93e-20
94.5,2.0000000000000002e-20
94.6,2.0000000000000002e-20
94.7,1.9699999999999998e-20
94.8,2.04e-20
94.9,2.05e-20
95.0,1.9900000000000002e-20
95.1,2.0299999999999997e-20
95.2,2.15e-20
95.3,2.15e-20
95.4,2.19e-20
95.5,2.28e-20
95.6,2.3e-20
95.7,2.23e-20
95.8,2.35e-20
95.9,2.35e-20
96.0,2.2699999999999998e-20
96.1,2.18e-20
96.2,2.09e-20
96.3,1.9e-20
96.4,1.8799999999999998e-20
96.5,1.9e-20
96.6,1.8799999999999998e-20
96.7,1.92e-20
96.8,2.01e-20
96.9,1.9699999999999998e-20
97.0,1.93e-20
97.1,1.92e-20
97.2,1.95e-20
97.3,1.9e-20
97.4,1.94e-20
97.5,1.95e-20
97.6,2.0000000000000002e-20
97.7,1.93e-20
97.8,1.96e-20
97.9,2.04e-20
98.0,2.08e-20
98.1,2.09e-20
98.2,2.1000000000000002e-20
98.3,2.05e-20
98.4,1.94e-20
98.5,1.93e-20
98.6,1.91e-20
98.7,1.91e-20
98.8,1.92e-20
98.9,1.92e-20
99.0,1.89e-20
99.1,1.8799999999999998e-20
99.2,1.9e-20
99.3,1.9900000000000002e-20
99.4,2.01e-20
99.5,1.91e-20
99.6,1.85e-20
99.7,2.1000000000000002e-20
99.8,2.58e-20
99.9,2.64e-20
100.0,2.6800000000000002e-20
100.1,2.7099999999999997e-20
100.2,2.41e-20
100.3,2.04e-20
100.4,2.1000000000000002e-20
100.5,2.05e-20
100.6,1.9699999999999998e-20
100.7,1.96e-20
100.8,2.04e-20
100.9,2.11e-20
101.0,2.11e-20
101.1,2.04e-20
101.2,1.95e-20
101.3,1.8600000000000004e-20
101.4,1.83e-20
101.5,1.85e-20
101.6,1.89e-20
101.7,1.9900000000000002e-20
101.8,1.94e-20
101.9,1.87e-20
102.0,1.9699999999999998e-20
102.1,2.1000000000000002e-20
102.2,2.06e-20
102.3,2.0699999999999998e-20
102.4,2.02e-20
102.5,1.89e-20
102.6,1.82e-20
102.7,1.8100000000000002e-20
102.8,1.7799999999999998e-20
102.9,1.8100000000000002e-20
103.0,1.87e-20
103.1,1.85e-20
103.2,1.84e-20
103.3,1.7699999999999998e-20
103.4,1.76e-20
103.5,1.83e-20
103.6,1.89e-20
103.7,1.89e-20
103.8,1.89e-20
103.9,1.93e-20
104.0,2.0000000000000002e-20
104.1,2.06e-20
104.2,2.12e-20
104.3,2.12e-20
104.4,1.9900000000000002e-20
104.5,1.93e-20
104.6,1.92e-20
104.7,1.85e-20
104.8,1.82e-20
104.9,1.95e-20
105.0,1.95e-20
105.1,1.94e-20
105.2,1.8100000000000002e-20
105.3,1.75e-20
105.4,1.66e-20
105.5,1.6200000000000002e-20
105.6,1.66e-20
105.7,1.72e-20
105.8,1.85e-20
105.9,2.0000000000000002e-20
106.0,1.9699999999999998e-20
106.1,1.89e-20
106.2,1.8799999999999998e-20
106.3,1.84e-20
106.4,1.84e-20
106.5,1.83e-20
106.6,1.79e-20
106.7,1.8100000000000002e-20
106.8,1.89e-20
106.9,1.9e-20
107.0,1.8600000000000004e-20
107.1,1.7699999999999998e-20
107.2,1.76e-20
107.3,1.85e-20
107.4,1.8799999999999998e-20
107.5,1.8799999999999998e-20
107.6,1.91e-20
107.7,1.89e-20
107.8,1.8100000000000002e-20
107.9,1.83e-20
108.0,1.87e-20
108.1,1.93e-20
108.2,1.92e-20
108.3,1.94e-20
108.4,2.01e-20
108.5,2.0299999999999997e-20
108.6,2.0000000000000002e-20
108.7,1.92e-20
108.8,1.94e-20
108.9,2.0699999999999998e-20
109.0,2.0299999999999997e-20
109.1,1.9900000000000002e-20
109.2,1.93e-20
109.3,1.94e-20
109.4,1.95e-20
109.5,1.92e-20
109.6,1.96e-20
109.7,1.96e-20
109.8,1.93e-20
109.9,1.91e-20
110.0,1.8799999999999998e-20
110.1,1.8100000000000002e-20
110.2,1.79e-20
110.3,1.82e-20
110.4,1.83e-20
110.5,1.84e-20
110.6,1.83e-20
110.7,1.82e-20
110.8,1.73e-20
110.9,1.6899999999999998e-20
111.0,1.79e-20
111.1,1.89e-20
111.2,1.8600000000000004e-20
111.3,1.8799999999999998e-20
111.4,1.94e-20
111.5,1.9900000000000002e-20
111.6,1.8799999999999998e-20
111.7,1.89e-20
111.8,1.85e-20
111.9,1.8000000000000002e-20
112.0,1.79e-20
112.1,1.79e-20
112.2,1.74e-20
112.3,1.79e-20
112.4,1.89e-20
112.5,1.9699999999999998e-20
112.6,2.04e-20
112.7,2.11e-20
