frequency,amb,flag,channel
35.5,1.07e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
35.6,9.16e-21,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
35.7,8.35e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
35.8,1.28e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
35.9,1.57e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
36.0,1.78e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
36.1,1.51e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
36.2,1.6e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_X
36.3,1.8e-20,Upper Limit,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
36.4,1.41e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
36.5,1.47e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
36.6,1.43e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_X
36.7,1.68e-20,Upper Limit,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
36.8,1.39e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
36.9,1.11e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_X
37.0,1.66e-20,Upper Limit,L1:PEM-CS_ACC_HAM3_PR2_Y
37.1,1.31e-20,Upper Limit,L1:PEM-CS_ACC_HAM3_PR2_Y
37.2,1.21e-20,Upper Limit,L1:PEM-CS_ACC_HAM3_PR2_Y
37.3,1.32e-20,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_X
37.4,1.18e-20,Upper Limit,L1:PEM-CS_ACC_HAM3_PR2_Y
37.5,1.14e-20,Measured,L1:PEM-CS_ACC_HAM3_PR2_Y
37.6,9.39e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
37.7,1.08e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_X
37.8,7.17e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
37.9,5.39e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
38.0,3.66e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
38.1,2.81e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
38.2,2.9e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
38.3,3.46e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
38.4,2.52e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
38.5,1.24e-20,Measured,L1:PEM-CS_ACC_HAM6_OMC_X
38.6,1.27e-20,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
38.7,1.66e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
38.8,1.68e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
38.9,1.88e-20,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
39.0,1.71e-20,Measured,L1:PEM-CS_ACC_HAM6_OMC_X
39.1,1.5e-20,Measured,L1:PEM-CS_ACC_HAM6_OMC_X
39.2,7.73e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
39.3,1.15e-20,Measured,L1:PEM-CS_ACC_BEAMTUBE_XMAN_Y
39.4,1.21e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_XMAN_Y
39.5,1.21e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_XMAN_Y
39.6,7.24e-21,Measured,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
39.7,6.64e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
39.8,6.38e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
39.9,5.65e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
40.0,5.67e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
40.1,6.79e-21,Measured,L1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X
40.2,5.57e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
40.3,6.24e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_X
40.4,5.35e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_X
40.5,5.69e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
40.6,7.7e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
40.7,1.94e-21,Measured,L1:PEM-CS_ACC_BSC3_ITMX_X
40.8,2.52e-20,Upper Limit,L1:PEM-CS_ACC_PSL_TABLE1_Y
40.9,2.41e-20,Upper Limit,L1:PEM-CS_ACC_PSL_TABLE1_Y
41.0,2.39e-20,Upper Limit,L1:PEM-CS_ACC_PSL_TABLE1_Y
41.1,1.17e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_XMAN_Y
41.2,7.68e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
41.3,8.17e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
41.4,8.13e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
41.5,8.69e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
41.6,9.21e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
41.7,8.86e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
41.8,7.53e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
41.9,5.96e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
42.0,5.64e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
42.1,4.59e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
42.2,4.79e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
42.3,5.49e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
42.4,5.93e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
42.5,6.17e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
42.6,6.61e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
42.7,6.87e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
42.8,6.25e-21,Measured,L1:PEM-CS_ACC_HAM5_SRM_X
42.9,1.59e-21,Measured,L1:PEM-CS_ACC_BSC2_BS_Y
43.0,1.32e-20,Upper Limit,L1:PEM-CS_ACC_PSL_TABLE2_Z
43.1,1.15e-21,Measured,L1:PEM-CS_ACC_HAM2_PRM_Y
43.2,4.49e-21,Measured,L1:PEM-CS_ACC_HAM4_SR2_X
43.3,4.13e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
43.4,4.46e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
43.5,6.73e-21,Measured,L1:PEM-CS_ACC_HAM4_SR2_X
43.6,1.46e-21,Measured,L1:PEM-CS_ACC_BSC1_ITMY_X
43.7,1.98e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
43.8,2.05e-21,Measured,L1:PEM-CS_ACC_BSC3_ITMX_X
43.9,2.19e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
44.0,3.57e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
44.1,6.11e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
44.2,5.45e-21,Measured,L1:PEM-CS_ACC_HAM4_SR2_X
44.3,5.8e-21,Measured,L1:PEM-CS_ACC_HAM4_SR2_X
44.4,5.01e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
44.5,7.06e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
44.6,8.06e-21,Measured,L1:PEM-CS_ACC_HAM4_SR2_X
44.7,1.2e-20,Upper Limit,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
44.8,6.31e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
44.9,5.65e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
45.0,9.83e-21,Upper Limit,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
45.1,1.11e-21,Measured,L1:PEM-CS_MIC_LVEA_XMANSPOOL
45.2,8.8e-21,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
45.3,1.2e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
45.4,9.95e-21,Upper Limit,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
45.5,1.02e-21,Measured,L1:PEM-EY_MIC_VEA_PLUSY
45.6,3.59e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
45.7,7.45e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
45.8,5.66e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
45.9,6.53e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
46.0,6.18e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
46.1,4.84e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
46.2,9.72e-21,Upper Limit,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
46.3,5.31e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
46.4,8.43e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
46.5,5.95e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
46.6,6.02e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
46.7,6.17e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
46.8,4.6e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
46.9,4.92e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
47.0,5.71e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
47.1,7.49e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
47.2,1.17e-20,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
47.3,1.44e-20,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
47.4,4.09e-21,Measured,L1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X
47.5,3.91e-21,Measured,L1:PEM-CS_ACC_HAM4_SR2_X
47.6,4.43e-21,Measured,L1:PEM-CS_MIC_LVEA_YMANSPOOL
47.7,4.16e-21,Measured,L1:PEM-CS_MIC_LVEA_YMANSPOOL
47.8,4.04e-21,Measured,L1:PEM-CS_MIC_LVEA_YMANSPOOL
47.9,1.09e-20,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.0,9.58e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.1,8.65e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.2,7.44e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.3,5.3e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.4,3.56e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.5,3.06e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.6,2.92e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
48.7,4.63e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
48.8,4.25e-21,Measured,L1:PEM-CS_ACC_HAM6_OMC_Z
48.9,4.96e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
49.0,6.63e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
49.1,7.34e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
49.2,6.58e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
49.3,5.55e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
49.4,4.86e-21,Measured,L1:PEM-CS_ACC_BSC1_ITMY_X
49.5,4.56e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
49.6,3.99e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
49.7,4.88e-21,Measured,L1:PEM-CS_ACC_BSC1_ITMY_Y
49.8,4.19e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
49.9,4.4e-21,Measured,L1:PEM-CS_ACC_BSC1_ITMY_X
50.0,5.17e-21,Measured,L1:PEM-CS_ACC_HAM4_SR2_X
50.1,3.29e-21,Measured,L1:PEM-CS_ACC_BEAMTUBE_XMAN_Y
50.2,4.58e-21,Measured,L1:PEM-CS_ACC_BSC1_ITMY_X
50.3,4.2e-21,Measured,L1:PEM-CS_ACC_BSC1_ITMY_X
50.4,4.39e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
50.5,4.98e-21,Measured,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z
50.6,5.09e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
50.7,5.47e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
50.8,5.9e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
50.9,5.81e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
51.0,4.99e-21,Measured,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
