frequency,amb,flag,darm
20.715,0.0,0,3.385e-19
20.775,0.0,0,3.4149999999999997e-19
20.835,0.0,0,3.3600000000000003e-19
20.895,0.0,0,3.0949999999999997e-19
20.955,0.0,0,3.25e-19
21.015,0.0,0,3.2650000000000005e-19
21.075,0.0,0,3.07e-19
21.134999999999998,0.0,0,2.435e-19
21.195,0.0,0,3.185e-19
21.255,0.0,0,2.55e-19
21.314999999999998,0.0,0,2.495e-19
21.39,0.0,0,2.6800000000000004e-19
21.465,0.0,0,2.6549999999999995e-19
21.535,0.0,0,3.535e-19
21.595,0.0,0,3.395e-19
21.655,0.0,0,2.87e-19
21.715,0.0,0,2.1449999999999997e-19
21.775,0.0,0,2.46e-19
21.835,0.0,0,2.3349999999999995e-19
21.895,0.0,0,2.535e-19
21.955,0.0,0,1.87e-19
22.03,0.0,0,2.2399999999999997e-19
22.105,0.0,0,2.345e-19
22.165,0.0,0,2.32e-19
22.225,0.0,0,2.1400000000000003e-19
22.285,0.0,0,1.96e-19
22.345,0.0,0,1.93e-19
22.405,0.0,0,2.5350000000000004e-19
22.483333333333334,0.0,0,2.2633333333333335e-19
22.564999999999998,0.0,0,2.005e-19
22.625,0.0,0,2.1000000000000001e-19
22.685000000000002,0.0,0,2.715e-19
22.745,0.0,0,2.1650000000000001e-19
22.805,0.0,0,1.84e-19
22.88,0.0,0,2.173333333333333e-19
22.955,0.0,0,1.7799999999999999e-19
23.015,0.0,0,1.8e-19
23.075,0.0,0,1.885e-19
23.134999999999998,0.0,0,2.265e-19
23.209999999999997,0.0,0,2.1833333333333333e-19
23.285,0.0,0,1.9650000000000002e-19
23.345,0.0,0,2.0850000000000001e-19
23.405,0.0,0,1.87e-19
23.465,0.0,0,1.7349999999999998e-19
23.55,0.0,0,1.6666666666666667e-19
23.625,0.0,0,1.725e-19
23.685000000000002,0.0,0,1.5e-19
23.745,0.0,0,1.38e-19
23.820000000000004,0.0,0,1.6966666666666665e-19
23.895,0.0,0,1.62e-19
23.955,0.0,0,1.5299999999999998e-19
24.015,0.0,0,2.015e-19
24.09,0.0,0,1.9166666666666668e-19
24.165,0.0,0,1.505e-19
24.225,0.0,0,1.1600000000000002e-19
24.285,0.0,0,1.8449999999999999e-19
24.36,0.0,0,1.6266666666666668e-19
24.435000000000002,0.0,0,1.4899999999999999e-19
24.5,0.0,0,1.555e-19
24.58,0.0,0,1.7333333333333335e-19
24.655,0.0,0,1.665e-19
24.715,1.79e-20,0,1.5850000000000001e-19
24.775,0.0,0,1.53e-19
24.849999999999998,0.0,0,1.2866666666666666e-19
24.925,0.0,0,1.7e-19
24.985,1.95e-20,0,1.86e-19
25.060000000000002,0.0,0,1.38e-19
25.134999999999998,0.0,0,1.505e-19
25.195,0.0,0,1.515e-19
25.27,1.89e-20,0,1.53e-19
25.345,0.0,0,1.45e-19
25.405,0.0,0,1.24e-19
25.483333333333334,0.0,0,1.2566666666666666e-19
25.564999999999998,0.0,0,1.04e-19
25.625,0.0,0,1.16e-19
25.700000000000003,1.3e-20,0,1.3566666666666665e-19
25.775,0.0,0,1.41e-19
25.849999999999998,0.0,0,1.4666666666666666e-19
25.925,0.0,0,1.345e-19
25.985,1.1e-20,0,1.1849999999999999e-19
26.060000000000002,0.0,0,1.1333333333333333e-19
26.134999999999998,0.0,0,1.007e-19
26.195,0.0,0,9.685e-20
