frequency,amb,flag,channel
26.8,6e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.9,3.8600000000000005e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
27.0,4.0000000000000004e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
27.1,4.3799999999999996e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
27.2,5.5299999999999994e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
27.3,9.44e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.0,3.59e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.1,4.39e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.2,5.660000000000001e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.3,5.5600000000000006e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.4,4.0600000000000004e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.5,3.72e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.6,6.92e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.7,8.18e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.8,5.0099999999999996e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
28.9,3.7400000000000005e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.0,3.81e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.1,3.81e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.2,3.79e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.3,3.37e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.4,2.8000000000000004e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.5,3e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.6,5.3e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.7,1.15e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.8,1.3999999999999998e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
29.9,6.8e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
30.0,3.3899999999999994e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
30.1,3.3e-20,Upper Limit,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
30.2,1.42e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_Y
30.3,2.5299999999999997e-20,Upper Limit,H1:PEM-CS_ACC_HAM4_SR2_X
30.4,2.2400000000000003e-20,Upper Limit,H1:PEM-CS_ACC_HAM4_SR2_X
30.5,2.13e-20,Upper Limit,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
30.6,2.7400000000000007e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
30.7,2.1400000000000003e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Y
30.8,2.67e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_X
30.9,2.63e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
31.0,2.9e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_X
