frequency,amb,flag,channel
816.52,9.19e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
823.58,8.51e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
823.64,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
830.64,1.0199999999999999e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
837.76,1.53e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
844.88,2.12e-21,Upper Limit,L1:PEM-EY_MAG_VEA_FLOOR_XYZ
851.97,1.0499999999999999e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
859.18,1.1599999999999999e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
866.12,1.1599999999999999e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
866.15,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
873.27,1.04e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
873.39,1.0899999999999999e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
880.33,1.1100000000000001e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
880.36,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
880.48,1.0899999999999999e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
887.55,1.08e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
894.58,2.7e-21,Upper Limit,L1:PEM-EY_MAG_VEA_FLOOR_XYZ
894.7,9.759999999999998e-23,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
908.7,1.06e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
908.88,1.04e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
915.94,1.29e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
922.91,1.76e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
922.97,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
930.03,1.3e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
937.12,1.2099999999999998e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
937.3,1.2300000000000002e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
944.21,1.2e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
951.45,1.27e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
965.52,1.83e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
965.67,1.2500000000000001e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
972.79,1.52e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
979.76,1.3400000000000002e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
979.88,1.63e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
986.85,1.7100000000000003e-21,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
986.97,1.37e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
